Round,Date,Time,Home team,Away team
Round of 32,2026-06-29,02:00,South Africa,Canada
Round of 32,2026-06-30,00:00,Brazil,Japan
Round of 32,2026-06-30,03:30,Germany,Paraguay
Round of 32,2026-06-30,08:00,Netherlands,Morocco
Round of 32,2026-07-01,00:00,Ivory Coast,Norway
Round of 32,2026-07-01,04:00,France,Sweden
Round of 32,2026-07-01,08:00,Mexico,Ecuador
Round of 32,2026-07-01,23:00,England,DR Congo
Round of 32,2026-07-02,03:00,Belgium,Senegal
Round of 32,2026-07-02,07:00,USA,Bosnia and Herzegovina
Round of 32,2026-07-03,02:00,Spain,Austria
Round of 32,2026-07-03,06:00,Portugal,Croatia
Round of 32,2026-07-03,10:00,Switzerland,Algeria
Round of 32,2026-07-04,01:00,Australia,Egypt
Round of 32,2026-07-04,05:00,Argentina,Cape Verde
Round of 32,2026-07-04,08:30,Colombia,Ghana
